Category: All categories

Week,ChatGPT shopping: (United States),AI shopping assistant: (United States)
2025-09-21,24,45
2025-09-28,25,27
2025-10-05,24,21
2025-10-12,29,20
2025-10-19,23,14
2025-10-26,32,9
2025-11-02,42,18
2025-11-09,35,15
2025-11-16,34,10
2025-11-23,100,18
2025-11-30,97,23
2025-12-07,80,15
2025-12-14,60,16
2025-12-21,61,14
2025-12-28,49,8
2026-01-04,42,16
2026-01-11,48,14
2026-01-18,52,16
2026-01-25,48,20
2026-02-01,44,15
2026-02-08,43,15
2026-02-15,39,36
2026-02-22,50,22
2026-03-01,59,19
2026-03-08,46,17
2026-03-15,44,23
2026-03-22,44,18
2026-03-29,37,17
2026-04-05,50,18
2026-04-12,46,20
2026-04-19,42,19
2026-04-26,40,12
2026-05-03,36,15
2026-05-10,42,22
2026-05-17,45,22
2026-05-24,58,30
2026-05-31,53,21
2026-06-07,76,29
2026-06-14,61,24
2026-06-21,56,30
2026-06-28,53,29
2026-07-05,40,37
2026-07-12,26,13
2026-07-19,19,8
2026-07-26,19,9
2026-08-02,17,8
2026-08-09,22,6
2026-08-16,17,8
2026-08-23,11,5
2026-08-30,12,0
2026-09-06,16,1
2026-09-13,13,5
2026-09-20,14,7
